category,published_at,source,text,title,url,preprocessed_text,sentiment_neg,sentiment_pos,sentiment_neutral,sentiment,sentiment_group,ORG_entities,GPE_entities
general,2023-06-27T21:14:04+00:00,wgmd,"A U.S. appeals court will consider challenges Tuesday to a huge lithium mine in Nevada in a case that pits environmentalists and Native Americans against President Joe Biden’s plans to combat climate change and could have broad implications for mining operations across the West.For the first time since it blocked construction of an Arizona copper mine last year, the 9th U.S. Circuit Court of Appeals was scheduled to hear oral arguments in a two-year-old legal battle with striking similarities to the Arizona case. The Nevada mine is in the works near the Oregon line and would involve...",Court to hear appeal over Nevada lithium mine key to Biden’s clean energy agenda,https://www.wgmd.com/court-to-hear-appeal-over-nevada-lithium-mine-key-to-bidens-clean-energy-agenda/,"['u', 'appeal', 'court', 'consider', 'challenge', 'tuesday', 'huge', 'lithium', 'mine', 'nevada', 'case', 'pit', 'environmentalist', 'native', 'american', 'president', 'joe', 'biden', '’', 'plan', 'combat', 'climate', 'change', 'could', 'broad', 'implication', 'mining', 'operation', 'across', 'westfor', 'first', 'time', 'since', 'blocked', 'construction', 'arizona', 'copper', 'mine', 'last', 'year', '9th', 'u', 'circuit', 'court', 'appeal', 'scheduled', 'hear', 'oral', 'argument', 'twoyearold', 'legal', 'battle', 'striking', 'similarity', 'arizona', 'case', 'nevada', 'mine', 'work', 'near', 'oregon', 'line', 'would', 'involve']",0.14,0.074,0.786,-0.6705,Negative,['nevada mine'],"['arizona', 'arizona', 'oregon']"
general,2023-06-08T07:50:45+00:00,americanbankingnews,"5E Advanced Materials (NASDAQ:FEAM &#8211; Get Rating) and Atlas Lithium (NASDAQ:ATLX &#8211; Get Rating) are both small-cap basic materials companies, but which is the superior investment? We will contrast the two businesses based on the strength of their earnings, institutional ownership, risk, analyst recommendations, profitability, valuation and dividends. Analyst Recommendations This is a summary of [&#8230;]",Critical Contrast: 5E Advanced Materials (NASDAQ:FEAM) versus Atlas Lithium (NASDAQ:ATLX),https://www.americanbankingnews.com/2023/06/08/critical-contrast-5e-advanced-materials-nasdaqfeam-versus-atlas-lithium-nasdaqatlx.html,"['5e', 'advanced', 'material', 'nasdaqfeam', '8211', 'get', 'rating', 'atlas', 'lithium', 'nasdaqatlx', '8211', 'get', 'rating', 'smallcap', 'basic', 'material', 'company', 'superior', 'investment', 'contrast', 'two', 'business', 'based', 'strength', 'earnings', 'institutional', 'ownership', 'risk', 'analyst', 'recommendation', 'profitability', 'valuation', 'dividend', 'analyst', 'recommendation', 'summary', '8230']",0.047,0.241,0.713,0.8271,Positive,[],[]
general,2023-06-05T08:36:45+00:00,etfdailynews,"Commonwealth Equity Services LLC lifted its holdings in Standard Lithium Ltd. (OTCMKTS:SLI &#8211; Get Rating) by 188.6% in the 4th quarter, according to its most recent Form 13F filing with the Securities & Exchange Commission. The institutional investor owned 37,870 shares of the company&#8217;s stock after acquiring an additional 24,750 shares during the period. Commonwealth [&#8230;]",Standard Lithium Ltd. (OTCMKTS:SLI) Shares Bought by Commonwealth Equity Services LLC,https://www.etfdailynews.com/2023/06/05/standard-lithium-ltd-otcmktssli-shares-bought-by-commonwealth-equity-services-llc/,"['commonwealth', 'equity', 'service', 'llc', 'lifted', 'holding', 'standard', 'lithium', 'ltd', 'otcmktssli', '8211', 'get', 'rating', '1886', '4th', 'quarter', 'according', 'recent', 'form', '13f', 'filing', 'security', 'exchange', 'commission', 'institutional', 'investor', 'owned', '37870', 'share', 'company8217s', 'stock', 'acquiring', 'additional', '24750', 'share', 'period', 'commonwealth', '8230']",0.0,0.163,0.837,0.7003,Positive,"['commonwealth equity', 'company8217s']",[]
general,2023-06-26T10:38:02+00:00,4-traders,(marketscreener.com) Corporate / 26.06.2023 Trading of IBA's shares is temporarily suspended ahead of the expected announcement of a commercial news. Attachments Original Link ...https://www.marketscreener.com/quote/stock/ION-BEAM-APPLICATIONS-SA-6002/news/Ion-Beam-Applications-Trading-of-IBA-s-shares-is-temporarily-suspended-ahead-of-the-expected-annou-44186353/?utm_medium=RSS&utm_content=20230626,Ion Beam Applications : Trading of IBA's shares is temporarily suspended ahead of the expected announcement of a commercial news.,https://www.marketscreener.com/quote/stock/ION-BEAM-APPLICATIONS-SA-6002/news/Ion-Beam-Applications-Trading-of-IBA-s-shares-is-temporarily-suspended-ahead-of-the-expected-annou-44186353/?utm_medium=RSS&utm_content=20230626,"['marketscreenercom', 'corporate', '26062023', 'trading', 'ibas', 'share', 'temporarily', 'suspended', 'ahead', 'expected', 'announcement', 'commercial', 'news', 'attachment', 'original', 'link']",0.142,0.307,0.55,0.3818,Positive,[],[]
general,2023-06-04T10:32:42+00:00,americanbankingnews,Neo Lithium (OTCMKTS:NTTHF) Stock Price Up 0.4%,Neo Lithium (OTCMKTS:NTTHF) Stock Price Up 0.4%,https://www.americanbankingnews.com/2023/06/04/neo-lithium-otcmktsntthf-stock-price-up-0-4.html,"['eo', 'lithium', 'otcmktsntthf', 'stock', 'price', '04']",0.0,0.0,1.0,0.0,Neutral,[],[]
general,2023-06-27T10:19:59+00:00,krdo,"By Elizabeth Wolfe, CNN (CNN) &#8212; John B. Goodenough, the Nobel Prize-winning engineer whose contributions to developing lithium-ion batteries revolutionized portable technology, has died. He was 100. He died Sunday, according to a release from the University of Texas at Austin, where Goodenough served as a faculty member for 37 years. His cause of deathThe post John Goodenough, the Nobel Prize winner whose development of lithium ion batteries helped create ‘a rechargable world’, has died at 100 appeared first on KRDO.","John Goodenough, the Nobel Prize winner whose development of lithium ion batteries helped create ‘a rechargable world’, has died at 100",https://krdo.com/news/2023/06/27/john-goodenough-the-nobel-prize-winner-whose-development-of-lithium-ion-batteries-helped-create-a-rechargable-world-has-died-at-100/,"['elizabeth', 'wolfe', 'cnn', 'cnn', '8212', 'john', 'b', 'goodenough', 'nobel', 'prizewinning', 'engineer', 'whose', 'contribution', 'developing', 'lithiumion', 'battery', 'revolutionized', 'portable', 'technology', 'died', '100', 'died', 'sunday', 'according', 'release', 'university', 'texas', 'austin', 'goodenough', 'served', 'faculty', 'member', '37', 'year', 'cause', 'deaththe', 'post', 'john', 'goodenough', 'nobel', 'prize', 'winner', 'whose', 'development', 'lithium', 'ion', 'battery', 'helped', 'create', '‘', 'rechargable', 'world', '’', 'died', '100', 'appeared', 'first', 'krdo']",0.15,0.183,0.667,0.34,Positive,"['cnn', 'cnn', 'university texas austin']",[]
general,2023-06-26T11:31:02+00:00,4-traders,"(marketscreener.com) RENO, Nev., June 26, 2023 -- Dragonfly Energy Holdings Corp. , an industry leader in energy storage and producer of deep cycle lithium-ion storage batteries, today announced it has joined the Russell 2000&reg; Index. Annual Russell indexes reconstitution captures the 4,000 largest US stocks as of April 28, ranking them by total market...https://www.marketscreener.com/quote/stock/DRAGONFLY-ENERGY-HOLDINGS-145080772/news/Dragonfly-Energy-Joins-the-Russell-2000-Index-44186904/?utm_medium=RSS&utm_content=20230626",Dragonfly Energy Joins the Russell 2000® Index,https://www.marketscreener.com/quote/stock/DRAGONFLY-ENERGY-HOLDINGS-145080772/news/Dragonfly-Energy-Joins-the-Russell-2000-Index-44186904/?utm_medium=RSS&utm_content=20230626,"['marketscreenercom', 'reno', 'nev', 'june', '26', '2023', 'dragonfly', 'energy', 'holding', 'corp', 'industry', 'leader', 'energy', 'storage', 'producer', 'deep', 'cycle', 'lithiumion', 'storage', 'battery', 'today', 'announced', 'joined', 'russell', '2000reg', 'index', 'annual', 'russell', 'index', 'reconstitution', 'capture', '4000', 'largest', 'u', 'stock', 'april', '28', 'ranking', 'total', 'market']",0.0,0.102,0.898,0.4939,Positive,['energy holding corp industry'],[]
general,2023-06-07T13:05:01+00:00,4-traders,"(marketscreener.com) MONTREAL, June 07, 2023 -- Mosaic Minerals Corporation announces that it has delayed all exploration activities at its James Bay lithium projects following an emergency fire evacuation order from the Ministry of Natural Resources and Forests. Due to the high-risk fire conditions present in the region, coupled with ongoing fires elsewhere in...https://www.marketscreener.com/quote/stock/MOSAIC-MINERALS-CORP-115248428/news/Mosaic-Minerals-Provides-Exploration-Update-on-James-Bay-Lithium-Projects-44061830/?utm_medium=RSS&utm_content=20230607",Mosaic Minerals Provides Exploration Update on James Bay Lithium Projects,https://www.marketscreener.com/quote/stock/MOSAIC-MINERALS-CORP-115248428/news/Mosaic-Minerals-Provides-Exploration-Update-on-James-Bay-Lithium-Projects-44061830/?utm_medium=RSS&utm_content=20230607,"['marketscreenercom', 'montreal', 'june', '07', '2023', 'mosaic', 'mineral', 'corporation', 'announces', 'delayed', 'exploration', 'activity', 'james', 'bay', 'lithium', 'project', 'following', 'emergency', 'fire', 'evacuation', 'order', 'ministry', 'natural', 'resource', 'forest', 'due', 'highrisk', 'fire', 'condition', 'present', 'region', 'coupled', 'ongoing', 'fire', 'elsewhere']",0.265,0.1,0.635,-0.743,Negative,[],['montreal']
general,2023-06-27T10:51:01+00:00,4-traders,"(marketscreener.com) Piedmont Lithium , a leading global developer of lithium resources critical to the U.S. electric vehicle supply chain, today released its inaugural sustainability report, Progressing with Purpose. The report affirms the Company&rsquo;s commitment to being a responsible, respectful steward of the planet, people, and the communities where...https://www.marketscreener.com/quote/stock/PIEDMONT-LITHIUM-INC-37530219/news/Piedmont-Lithium-Releases-Inaugural-Sustainability-Report-44202179/?utm_medium=RSS&utm_content=20230627",Piedmont Lithium Releases Inaugural Sustainability Report,https://www.marketscreener.com/quote/stock/PIEDMONT-LITHIUM-INC-37530219/news/Piedmont-Lithium-Releases-Inaugural-Sustainability-Report-44202179/?utm_medium=RSS&utm_content=20230627,"['marketscreenercom', 'piedmont', 'lithium', 'leading', 'global', 'developer', 'lithium', 'resource', 'critical', 'u', 'electric', 'vehicle', 'supply', 'chain', 'today', 'released', 'inaugural', 'sustainability', 'report', 'progressing', 'purpose', 'report', 'affirms', 'companyrsquos', 'commitment', 'responsible', 'respectful', 'steward', 'planet', 'people', 'community']",0.064,0.218,0.718,0.6808,Positive,[],[]
general,2023-06-28T16:06:18+00:00,4-traders,"(marketscreener.com) NEW DELHI, June 28 - India's KABIL, a state-owned joint venture formed to scoutfor minerals overseas, will ""shortly"" sign an agreement withArgentina to secure a few lithium blocks, a government sourcewith direct knowledge of the matter told Reuters on Wednesday. India,...https://www.marketscreener.com/news/latest/Indian-state-owned-firm-to-sign-lithium-pact-with-Argentina-source--44223885/?utm_medium=RSS&utm_content=20230628",Indian state-owned firm to sign lithium pact with Argentina -source,https://www.marketscreener.com/news/latest/Indian-state-owned-firm-to-sign-lithium-pact-with-Argentina-source--44223885/?utm_medium=RSS&utm_content=20230628,"['marketscreenercom', 'new', 'delhi', 'june', '28', 'india', 'kabil', 'stateowned', 'joint', 'venture', 'formed', 'scoutfor', 'mineral', 'overseas', 'shortly', 'sign', 'agreement', 'withargentina', 'secure', 'lithium', 'block', 'government', 'sourcewith', 'direct', 'knowledge', 'matter', 'told', 'reuters', 'wednesday', 'india']",0.081,0.188,0.73,0.4215,Positive,['reuters'],"['new delhi', 'india', 'india']"
general,2023-06-28T06:20:48+00:00,etfdailynews,"Atlas Lithium (NASDAQ:ATLX &#8211; Get Rating) and Lynas Rare Earths (OTCMKTS:LYSDY &#8211; Get Rating) are both basic materials companies, but which is the better business? We will compare the two businesses based on the strength of their risk, analyst recommendations, dividends, institutional ownership, profitability, valuation and earnings. Analyst Ratings This is a breakdown of recent [&#8230;]",Financial Analysis: Lynas Rare Earths (OTCMKTS:LYSDY) versus Atlas Lithium (NASDAQ:ATLX),https://www.etfdailynews.com/2023/06/28/financial-analysis-lynas-rare-earths-otcmktslysdy-versus-atlas-lithium-nasdaqatlx/,"['atlas', 'lithium', 'nasdaqatlx', '8211', 'get', 'rating', 'lynas', 'rare', 'earth', 'otcmktslysdy', '8211', 'get', 'rating', 'basic', 'material', 'company', 'better', 'business', 'compare', 'two', 'business', 'based', 'strength', 'risk', 'analyst', 'recommendation', 'dividend', 'institutional', 'ownership', 'profitability', 'valuation', 'earnings', 'analyst', 'rating', 'breakdown', 'recent', '8230']",0.048,0.189,0.762,0.7269,Positive,[],[]
general,2023-06-27T12:45:17+00:00,business,"VANCOUVER, British Columbia, June 27, 2023 (GLOBE NEWSWIRE) &#8212; MAX Power Mining Corp. (CSE: MAXX; OTC: MAXXF; FRANKFURT: 89N) (“MAX Power” or the “Company”) has identified multiple radiometric anomalies from preliminary airborne survey data covering approximately two-thirds of its Corvette Lake North Lithium Property to date. Corvette Lake North is adjacent to Patriot Battery Metals’ [&#8230;]",Radiometric Anomalies Identified at MAX Power’s Corvette Lake North Lithium Property,https://financialpost.com/globe-newswire/radiometric-anomalies-identified-at-max-powers-corvette-lake-north-lithium-property,"['vancouver', 'british', 'columbia', 'june', '27', '2023', 'globe', 'newswire', '8212', 'max', 'power', 'mining', 'corp', 'cse', 'maxx', 'otc', 'maxxf', 'frankfurt', '89n', '“', 'max', 'power', '”', '“', 'company', '”', 'identified', 'multiple', 'radiometric', 'anomaly', 'preliminary', 'airborne', 'survey', 'data', 'covering', 'approximately', 'twothirds', 'corvette', 'lake', 'north', 'lithium', 'property', 'date', 'corvette', 'lake', 'north', 'adjacent', 'patriot', 'battery', 'metal', '’', '8230']",0.0,0.0,1.0,0.0,Neutral,['max power mining corp cse'],['frankfurt']
general,2023-06-04T06:18:42+00:00,etfdailynews,"Atlas Lithium (NASDAQ:ATLX &#8211; Get Rating) and Piedmont Lithium (NASDAQ:PLL &#8211; Get Rating) are both small-cap basic materials companies, but which is the superior investment? We will compare the two businesses based on the strength of their profitability, risk, earnings, analyst recommendations, valuation, dividends and institutional ownership. Earnings & Valuation This table compares Atlas Lithium [&#8230;]",Head to Head Survey: Atlas Lithium (NASDAQ:ATLX) vs. Piedmont Lithium (NASDAQ:PLL),https://www.etfdailynews.com/2023/06/04/head-to-head-survey-atlas-lithium-nasdaqatlx-vs-piedmont-lithium-nasdaqpll/,"['atlas', 'lithium', 'nasdaqatlx', '8211', 'get', 'rating', 'piedmont', 'lithium', 'nasdaqpll', '8211', 'get', 'rating', 'smallcap', 'basic', 'material', 'company', 'superior', 'investment', 'compare', 'two', 'business', 'based', 'strength', 'profitability', 'risk', 'earnings', 'analyst', 'recommendation', 'valuation', 'dividend', 'institutional', 'ownership', 'earnings', 'valuation', 'table', 'compare', 'atlas', 'lithium', '8230']",0.046,0.192,0.763,0.7717,Positive,[],['nasdaqpll']
general,2023-06-02T14:48:14+00:00,4-traders,"(marketscreener.com) India's Tata Group signed an outline deal on Friday on building a lithium-ion cell factory, based on investment of about 130 billion rupees , as part of the nation's efforts to create its own electric vehicle supply chain.https://www.marketscreener.com/quote/stock/TATA-MOTORS-LIMITED-46728680/news/India-s-Tata-Group-signs-1-6-billion-EV-battery-plant-deal-44028295/?utm_medium=RSS&utm_content=20230602",India's Tata Group signs $1.6 billion EV battery plant deal,https://www.marketscreener.com/quote/stock/TATA-MOTORS-LIMITED-46728680/news/India-s-Tata-Group-signs-1-6-billion-EV-battery-plant-deal-44028295/?utm_medium=RSS&utm_content=20230602,"['marketscreenercom', 'india', 'tata', 'group', 'signed', 'outline', 'deal', 'friday', 'building', 'lithiumion', 'cell', 'factory', 'based', 'investment', '130', 'billion', 'rupee', 'part', 'nation', 'effort', 'create', 'electric', 'vehicle', 'supply', 'cha']",0.0,0.08,0.92,0.2732,Positive,['india tata group'],[]
general,2023-06-29T05:26:42+00:00,americanbankingnews,"Liontrust Asset Management PLC (LON:LIO) Insider John Stephen Ions Sells 13,810 Shares","Liontrust Asset Management PLC (LON:LIO) Insider John Stephen Ions Sells 13,810 Shares",https://www.americanbankingnews.com/2023/06/29/liontrust-asset-management-plc-lonlio-insider-john-stephen-ions-sells-13810-shares.html,"['ontrust', 'asset', 'management', 'plc', 'lonlio', 'insider', 'john', 'stephen', 'ion', 'sell', '13810', 'share']",0.0,0.32,0.68,0.5719,Positive,[],[]
general,2023-06-05T15:59:51+00:00,4-traders,"(marketscreener.com) French mining group Eramethas opened an office in Chile, it said on Monday, asit looks to develop lithium production in South America tosupply battery makers. The office, whose role is to ""support future technical andcommercial operations"", will be mainly focused on businessdevelopment and exploration, it said. ...https://www.marketscreener.com/quote/stock/ERAMET-4752/news/France-s-Eramet-opens-Chile-office-in-lithium-push-44041833/?utm_medium=RSS&utm_content=20230605",France's Eramet opens Chile office in lithium push,https://www.marketscreener.com/quote/stock/ERAMET-4752/news/France-s-Eramet-opens-Chile-office-in-lithium-push-44041833/?utm_medium=RSS&utm_content=20230605,"['marketscreenercom', 'french', 'mining', 'group', 'eramethas', 'opened', 'office', 'chile', 'said', 'monday', 'asit', 'look', 'develop', 'lithium', 'production', 'south', 'america', 'tosupply', 'battery', 'maker', 'office', 'whose', 'role', 'support', 'future', 'technical', 'andcommercial', 'operation', 'mainly', 'focused', 'businessdevelopment', 'exploration', 'said']",0.0,0.194,0.806,0.7351,Positive,[],[]
